Date,Price,Volume,Market_cap,Price_normalized,Volume_normalized,Market_cap_normalized
2015-08-07 00:00:00+00:00,2.83162,90622.0,0.0,0.0004982045281536667,2.5174152457943525e-08,0.0
2015-08-08 00:00:00+00:00,1.33075,368070.0,80339475.0,0.00018646963098646455,1.9941969025100425e-06,0.00014053574607488772
2015-08-10 00:00:00+00:00,0.68758571,400464.074544,41556309.21112176,5.288260892275048e-05,2.2240946481921864e-06,7.269336673041149e-05
2015-08-11 00:00:00+00:00,1.06737888,1518998.205337,64539006.30627219,0.0001317667126724128,1.0162227740667775e-05,0.00011289639871537431
2015-08-12 00:00:00+00:00,1.25661318,2073893.345031,76013261.05415402,0.00017107120610022962,1.4100267135259999e-05,0.00013296801297034544
2015-08-13 00:00:00+00:00,1.82539545,4380142.704,110468836.22388984,0.0002892088745518462,3.046750515861223e-05,0.00019324025103162478
2015-08-14 00:00:00+00:00,1.82597489,4355618.378552,110555313.2602532,0.0002893292258606301,3.0293458293121066e-05,0.00019339152305355013
2015-08-15 00:00:00+00:00,1.67094967,2519633.270818,101215246.3781064,0.00025713005403693926,1.7263642090138526e-05,0.00017705318791168056
2015-08-16 00:00:00+00:00,1.47660725,3032657.656406,89480939.24025029,0.00021676458979691507,2.0904528622224795e-05,0.0001565266708005034
2015-08-17 00:00:00+00:00,1.20387143,1880092.214718,87313387.94547918,0.00016011659709833852,1.2724878469376271e-05,0.0001527350299120579
2015-08-18 00:00:00+00:00,1.28139305,1696013.472336,92957858.0620156,0.00017621805441238628,1.1418488689845919e-05,0.0001626087541183071
2015-08-19 00:00:00+00:00,1.25273865,1537200.840989,90920695.86547752,0.0001702664553815656,1.0291410159390193e-05,0.00015904519947513776
2015-08-20 00:00:00+00:00,1.48419507,2967730.502211,107749185.84108424,0.00021834060123522965,2.0443746624495147e-05,0.00018848283762295563
2015-08-21 00:00:00+00:00,1.40631477,1742881.80815,102131022.8278611,0.000202164645081898,1.1751108926700564e-05,0.0001786551317456935
2015-08-22 00:00:00+00:00,1.38072154,914588.653975,100308763.78229792,0.00019684885962264668,5.872789154047721e-06,0.0001754675015737272
2015-08-23 00:00:00+00:00,1.3551821,1610695.872751,98488001.44464436,0.00019154424649685432,1.0812997590386919e-05,0.00017228248955383036
2015-08-24 00:00:00+00:00,1.24657168,696476.555327,90625948.31797116,0.00016898555846258978,4.324867798335949e-06,0.00015852960528569914
2015-08-25 00:00:00+00:00,1.16082833,1053169.386205,84423109.08066371,0.0001511764248300824,6.8562837709840415e-06,0.0001476791405546614
2015-08-26 00:00:00+00:00,1.11963916,1151700.041593,81454879.46968535,0.00014262131900855726,7.555546703268706e-06,0.00014248689399217864
2015-08-27 00:00:00+00:00,1.13369069,681460.239441,82504022.8230964,0.0001455398610938757,4.2182983957758205e-06,0.0001443221330687488
2015-08-28 00:00:00+00:00,1.1888957,715178.789931,86549490.63266213,0.00015700609608788874,4.457595824532165e-06,0.00015139876428695457
2015-08-29 00:00:00+00:00,1.17434391,607200.891454,85515599.87435573,0.00015398364860126515,3.691286683345244e-06,0.0001495902061767787
2015-08-30 00:00:00+00:00,1.32235088,1045589.321257,96321049.6917207,0.0001847251102688174,6.802488752351777e-06,0.00016849189742828544
2015-08-31 00:00:00+00:00,1.35336842,1197102.049287,98608290.53954794,0.00019116754008770883,7.877760545313076e-06,0.0001724929081269782
2015-09-01 00:00:00+00:00,1.35078669,610368.24309,98446826.49425755,0.00019063130754520786,3.713765084446347e-06,0.00017221046328813464
2015-09-02 00:00:00+00:00,1.27881077,629746.119317,93224371.25915022,0.0001756817076333469,3.851288076641845e-06,0.00016307495869579677
2015-09-03 00:00:00+00:00,1.26277072,583923.745245,92075482.6329798,0.00017235014438182826,3.526090933360346e-06,0.00016106523781778739
2015-09-04 00:00:00+00:00,1.2695201,333502.661157,92596631.55333725,0.00017375200948689553,1.7488757014538925e-06,0.0001619768700177558
2015-09-05 00:00:00+00:00,1.33497623,350815.466895,97402782.61913484,0.00018734743077888824,1.8717430797206475e-06,0.00017038414459579458
2015-09-06 00:00:00+00:00,1.29888313,317470.094342,94801706.70501994,0.0001798507929508648,1.6350940602077305e-06,0.00016583415040940537
2015-09-07 00:00:00+00:00,1.25622344,487005.202803,91718481.31789044,0.00017099025601206613,2.8382690172889095e-06,0.00016044074473806787
2015-09-08 00:00:00+00:00,1.23603326,419148.801825,90274690.39947064,0.00016679669915098736,2.356698426539149e-06,0.00015791515897968104
2015-09-09 00:00:00+00:00,1.20652995,367774.331895,88150718.66876175,0.0001606687791386331,1.9920985733629237e-06,0.0001541997506848528
2015-09-10 00:00:00+00:00,1.16723484,639527.917493,85308945.82326,0.00015250707487708893,3.920708591999543e-06,0.00014922871164062276
2015-09-11 00:00:00+00:00,0.97650909,1901710.694902,71394234.94958797,0.00011289280311245407,1.2878302820259488e-05,0.00012488807120143827
2015-09-12 00:00:00+00:00,1.03820359,800623.299845,75931677.01254052,0.0001257069233315816,5.063987594837658e-06,0.0001328253001363873
2015-09-13 00:00:00+00:00,0.93865215,658895.195994,68673818.80135794,0.00010502981078269536,4.058156373115512e-06,0.00012012931825930517
2015-09-14 00:00:00+00:00,0.87402296,739213.725918,63965969.21105757,9.160614724178273e-05,4.628169538361239e-06,0.00011189399988585031
2015-09-15 00:00:00+00:00,0.94182319,725816.471124,68951445.2301325,0.00010568844466058825,4.533090462362745e-06,0.00012061496292275287
2015-09-16 00:00:00+00:00,0.90321992,629370.084907,66147947.57992838,9.767043750222826e-05,3.848619395274192e-06,0.00011571087767834928
