Date,Price,Volume,Market_cap,Price_normalized,Volume_normalized,Market_cap_normalized
2015-02-25 00:00:00+00:00,1.21016,5.0,304476.0,0.8495348048882727,5.395095380960376e-12,1.1283623041855033e-06
2015-03-02 00:00:00+00:00,0.572521,2.0,144046.0,0.0,2.1580381523841507e-12,0.0
2015-03-06 00:00:00+00:00,1.0,50.0,251600.0,0.5695358797984973,5.395095380960377e-11,7.564662423759124e-07
2015-03-07 00:00:00+00:00,1.0,58196.0,251600.0,0.5695358797984973,6.279459415807401e-08,7.564662423759124e-07
2015-03-08 00:00:00+00:00,1.0,31.0,251600.0,0.5695358797984973,3.3449591361954333e-11,7.564662423759124e-07
2015-03-09 00:00:00+00:00,1.0,137.0,251600.0,0.5695358797984973,1.4782561343831434e-10,7.564662423759124e-07
2015-03-10 00:00:00+00:00,1.0,50006.0,251600.0,0.5695358797984973,5.395742792406092e-08,7.564662423759124e-07
2015-03-11 00:00:00+00:00,1.0,46.0,251600.0,0.5695358797984973,4.963487750483547e-11,7.564662423759124e-07
2015-03-12 00:00:00+00:00,1.0,80421.0,251600.0,0.5695358797984973,8.67757931264429e-08,7.564662423759124e-07
2015-03-13 00:00:00+00:00,1.0,75.0,251600.0,0.5695358797984973,8.092643071440566e-11,7.564662423759124e-07
2015-03-14 00:00:00+00:00,1.0,17706.0,251600.0,0.5695358797984973,1.9105111763056887e-08,7.564662423759124e-07
2015-03-15 00:00:00+00:00,1.0,15124.0,251600.0,0.5695358797984973,1.631908450832895e-08,7.564662423759124e-07
2015-03-16 00:00:00+00:00,1.0,49631.0,251600.0,0.5695358797984973,5.355279577048889e-08,7.564662423759124e-07
2015-03-17 00:00:00+00:00,1.0,4284.0,251600.0,0.5695358797984973,4.622517722406851e-09,7.564662423759124e-07
2015-03-18 00:00:00+00:00,1.0,58.0,251600.0,0.5695358797984973,6.258310641914037e-11,7.564662423759124e-07
2015-03-19 00:00:00+00:00,1.0,857.0,251600.0,0.5695358797984973,9.247193482966086e-10,7.564662423759124e-07
2015-03-20 00:00:00+00:00,1.0,132.0,251600.0,0.5695358797984973,1.4243051805735396e-10,7.564662423759124e-07
2015-03-21 00:00:00+00:00,1.0,206.0,251600.0,0.5695358797984973,2.222779296955675e-10,7.564662423759124e-07
2015-03-22 00:00:00+00:00,1.0,66.0,251600.0,0.5695358797984973,7.121525902867698e-11,7.564662423759124e-07
2015-03-23 00:00:00+00:00,1.0,65.0,251600.0,0.5695358797984973,7.01362399524849e-11,7.564662423759124e-07
2015-03-24 00:00:00+00:00,1.0,1179.0,251600.0,0.5695358797984973,1.2721634908304568e-09,7.564662423759124e-07
2015-03-25 00:00:00+00:00,1.0,93.0,251600.0,0.5695358797984973,1.0034877408586301e-10,7.564662423759124e-07
2015-03-26 00:00:00+00:00,1.0,2.0,251600.0,0.5695358797984973,2.1580381523841507e-12,7.564662423759124e-07
2015-03-27 00:00:00+00:00,1.0,4.0,251600.0,0.5695358797984973,4.3160763047683014e-12,7.564662423759124e-07
2015-03-28 00:00:00+00:00,1.0,10.0,251600.0,0.5695358797984973,1.0790190761920753e-11,7.564662423759124e-07
2015-03-29 00:00:00+00:00,1.0,27.0,251600.0,0.5695358797984973,2.9133515057186033e-11,7.564662423759124e-07
2015-03-30 00:00:00+00:00,1.0,494.0,251600.0,0.5695358797984973,5.330354236388852e-10,7.564662423759124e-07
2015-03-31 00:00:00+00:00,1.0,37.0,251600.0,0.5695358797984973,3.992370581910679e-11,7.564662423759124e-07
2015-04-02 00:00:00+00:00,1.0,12864.0,251600.0,0.5695358797984973,1.3880501396134858e-08,7.564662423759124e-07
2015-04-03 00:00:00+00:00,1.0,79969.0,251600.0,0.5695358797984973,8.628807650400407e-08,7.564662423759124e-07
2015-04-04 00:00:00+00:00,1.0,8887.0,251600.0,0.5695358797984973,9.589242530118973e-09,7.564662423759124e-07
2015-04-05 00:00:00+00:00,1.0,2018.0,251600.0,0.5695358797984973,2.1774604957556083e-09,7.564662423759124e-07
2015-04-06 00:00:00+00:00,1.0,3137.0,251600.0,0.5695358797984973,3.3848828420145403e-09,7.564662423759124e-07
2015-04-07 00:00:00+00:00,1.0,4.0,251600.0,0.5695358797984973,4.3160763047683014e-12,7.564662423759124e-07
2015-04-08 00:00:00+00:00,1.0,19191.0,251600.0,0.5695358797984973,2.070745509120212e-08,7.564662423759124e-07
2015-04-09 00:00:00+00:00,1.0,1016.0,251600.0,0.5695358797984973,1.0962833814111486e-09,7.564662423759124e-07
2015-04-10 00:00:00+00:00,1.0,100940.0,251600.0,0.5695358797984973,1.0891618555082808e-07,7.564662423759124e-07
2015-04-11 00:00:00+00:00,1.0,1031.0,251600.0,0.5695358797984973,1.1124686675540297e-09,7.564662423759124e-07
2015-04-12 00:00:00+00:00,1.0,3177.0,251600.0,0.5695358797984973,3.4280436050622233e-09,7.564662423759124e-07
2015-04-13 00:00:00+00:00,1.0,1228.0,251600.0,0.5695358797984973,1.3250354255638685e-09,7.564662423759124e-07
2015-04-14 00:00:00+00:00,1.0,46015.0,251600.0,0.5695358797984973,4.965106279097835e-08,7.564662423759124e-07
2015-04-15 00:00:00+00:00,1.0,50290.0,251600.0,0.5695358797984973,5.426386934169947e-08,7.564662423759124e-07
2015-04-16 00:00:00+00:00,1.0,40941.0,251600.0,0.5695358797984973,4.4176119998379755e-08,7.564662423759124e-07
2015-04-17 00:00:00+00:00,1.0,46909.0,251600.0,0.5695358797984973,5.0615705845094066e-08,7.564662423759124e-07
